trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A99-A3858-1-31-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99135998379791,A3858,0,0
A99-A1316-5-16-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99535998379791,A1316,0,0
A99-A3859-2-28-35998379791,A99,35998379791,РАЗКЛОНА ЗА ЛЕТИЩЕТО,,,A99235998379791,A3859,0,0
TM29-TM1110-8-12-29001167520,TM29,29001167520,Ж.К. ВРЪБНИЦА 1,,,,TM1110,0,0
A200-A3907-3-23-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200315996494161,A3907,0,0
A200-A3907-4-11-15996494161,A200,15996494161,Ж.К. МЛАДОСТ-2,,,A200415996494161,A3907,0,0
A99-A1316-5-22-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99535998379791,A1316,0,0
A200-A3908-4-20-15996494161,A200,15996494161,СЕЛО БИСТРИЦА,,,A200415996494161,A3908,0,0
A99-A3858-1-5-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99135998379791,A3858,0,0
A99-A3858-3-21-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99335998379791,A3858,0,0
A99-A3858-5-13-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99535998379791,A3858,0,0
A99-A1316-3-28-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99335998379791,A1316,0,0
A99-A1316-5-10-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99535998379791,A1316,0,0
A99-A1316-6-27-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99635998379791,A1316,0,0
A99-A1316-5-24-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99535998379791,A1316,0,0
A99-A1316-2-2-35998379791,A99,35998379791,ЛЕТИЩЕ СОФИЯ ТЕРМИНАЛ 2,,,A99235998379791,A1316,0,0
A99-A3858-1-9-35998379791,A99,35998379791,УЛ. ГЕН. ГУРКО,,,A99135998379791,A3858,0,0
TM29-TM1111-7-5-29001167520,TM29,29001167520,КВ. КНЯЖЕВО,,,,TM1111,0,0
